tweet_id,retweets,favorites,user_followers,user_favourites,date_time
692041934689402880,1368,3587,7433370,139181,2016-01-26 17:50:29
692017291282812928,1022,3022,7433370,139181,2016-01-26 16:12:33
691820333922455552,1776,4175,7433961,139180,2016-01-26 03:09:55
691793053716221953,4510,8556,7433370,139181,2016-01-26 01:21:31
691756958957883396,1100,3052,7433370,139181,2016-01-25 22:58:05
691675652215414786,547,2056,7433370,139181,2016-01-25 17:35:00
691483041324204033,607,2512,7433961,139180,2016-01-25 04:49:38
691459709405118465,1239,4290,7433370,139181,2016-01-25 03:16:56
691444869282295808,911,2800,7433370,139181,2016-01-25 02:17:57
691416866452082688,8215,20413,7433370,139181,2016-01-25 00:26:41
691321916024623104,710,2718,7433370,139181,2016-01-24 18:09:23
691096613310316544,957,3133,7433961,139180,2016-01-24 03:14:07
691090071332753408,359,1804,7433370,139181,2016-01-24 02:48:07
690989312272396288,3088,6248,7433370,139181,2016-01-23 20:07:44
690959652130045952,1352,3786,7433370,139181,2016-01-23 18:09:53
690938899477221376,2144,4367,7433370,139181,2016-01-23 16:47:25
690932576555528194,1103,3474,7433370,139181,2016-01-23 16:22:17
690735892932222976,1379,4002,7433961,139180,2016-01-23 03:20:44
690728923253055490,557,2294,7433370,139181,2016-01-23 02:53:03
690690673629138944,857,2459,7433370,139181,2016-01-23 00:21:03
690649993829576704,302,1383,7433370,139181,2016-01-22 21:39:24
690607260360429569,17,306,7433961,139180,2016-01-22 18:49:36
690597161306841088,647,2080,7433370,139181,2016-01-22 18:09:28
690400367696297985,489,1980,7433370,139181,2016-01-22 05:07:29
690374419777196032,929,3443,7433370,139181,2016-01-22 03:24:22
690360449368465409,956,2798,7433370,139181,2016-01-22 02:28:52
690348396616552449,551,1589,7433370,139181,2016-01-22 01:40:58
690248561355657216,441,1778,7433370,139181,2016-01-21 19:04:15
690021994562220032,1113,2956,7433370,139181,2016-01-21 04:03:58
690015576308211712,793,2654,7433370,139181,2016-01-21 03:38:27
690005060500217858,1812,3870,7433370,139181,2016-01-21 02:56:40
689999384604450816,402,1510,7433370,139181,2016-01-21 02:34:07
689993469801164801,491,1552,7433370,139181,2016-01-21 02:10:37
689977555533848577,481,1446,7433370,139181,2016-01-21 01:07:23
689905486972461056,746,2572,7433370,139181,2016-01-20 20:21:00
689877686181715968,1274,3189,7433370,139181,2016-01-20 18:30:32
689835978131935233,813,2288,7433370,139181,2016-01-20 15:44:48
689661964914655233,1002,3381,7433370,139181,2016-01-20 04:13:20
689659372465688576,4180,10949,7433370,139181,2016-01-20 04:03:02
689623661272240129,694,2359,7433370,139181,2016-01-20 01:41:08
689599056876867584,5948,12283,7433370,139181,2016-01-20 00:03:21
689557536375177216,496,2162,7433370,139181,2016-01-19 21:18:22
689517482558820352,1538,3582,7433370,139181,2016-01-19 18:39:13
689289219123089408,1002,2382,7433370,139181,2016-01-19 03:32:10
689283819090870273,1192,3480,7433370,139181,2016-01-19 03:10:43
689280876073582592,772,2111,7433370,139181,2016-01-19 02:59:01
689275259254616065,264,1223,7433370,139181,2016-01-19 02:36:42
689255633275777024,1162,2705,7433370,139181,2016-01-19 01:18:43
689154315265683456,1078,3236,7433370,139181,2016-01-18 18:36:07
689143371370250240,552,2137,7433370,139181,2016-01-18 17:52:38
688916208532455424,939,2886,7433370,139181,2016-01-18 02:49:58
688908934925697024,831,2233,7433370,139181,2016-01-18 02:21:04
688898160958271489,850,2223,7433370,139181,2016-01-18 01:38:15
688894073864884227,745,2360,7433370,139181,2016-01-18 01:22:00
688828561667567616,398,1462,7433370,139181,2016-01-17 21:01:41
688804835492233216,210,1014,7433961,139180,2016-01-17 19:27:24
688789766343622656,716,2344,7433370,139181,2016-01-17 18:27:32
688547210804498433,758,2755,7433370,139181,2016-01-17 02:23:42
688519176466644993,789,2445,7433370,139181,2016-01-17 00:32:18
688385280030670848,4796,9817,7433370,139181,2016-01-16 15:40:14
688211956440801280,901,2349,7433370,139181,2016-01-16 04:11:31
688179443353796608,631,2237,7433370,139181,2016-01-16 02:02:19
688116655151435777,844,2981,7433370,139181,2016-01-15 21:52:49
688064179421470721,386,1823,7433370,139181,2016-01-15 18:24:18
687841446767013888,2720,5778,7433370,139181,2016-01-15 03:39:15
687826841265172480,1215,2886,7433961,139180,2016-01-15 02:41:12
687818504314159109,1019,2647,7433370,139181,2016-01-15 02:08:05
687807801670897665,756,2528,7433370,139181,2016-01-15 01:25:33
687732144991551489,703,1863,7433370,139181,2016-01-14 20:24:55
687704180304273409,900,2579,7433370,139181,2016-01-14 18:33:48
687664829264453632,552,2051,7433370,139181,2016-01-14 15:57:26
687494652870668288,619,2023,7433370,139181,2016-01-14 04:41:12
687480748861947905,263,1693,7433370,139181,2016-01-14 03:45:57
687476254459715584,573,2085,7433961,139180,2016-01-14 03:28:06
687460506001633280,586,2164,7433370,139181,2016-01-14 02:25:31
687399393394311168,678,2001,7433370,139181,2016-01-13 22:22:41
687317306314240000,9853,21233,7433370,139181,2016-01-13 16:56:30
687312378585812992,2042,4603,7433370,139181,2016-01-13 16:36:55
687127927494963200,2466,5772,7433370,139181,2016-01-13 04:23:58
687124485711986689,544,2289,7433370,139181,2016-01-13 04:10:18
687109925361856513,2654,6135,7433370,139181,2016-01-13 03:12:26
